code3,country,region,year,visa_free_count
AFG,Afghanistan,ASIA,2020,26.0
AFG,Afghanistan,ASIA,2021,26.0
AFG,Afghanistan,ASIA,2022,26.0
AGO,Angola,AFRICA,2020,50.0
AGO,Angola,AFRICA,2021,50.0
AGO,Angola,AFRICA,2022,50.0
ALB,Albania,EUROPE,2020,114.0
ALB,Albania,EUROPE,2021,113.0
ALB,Albania,EUROPE,2022,114.0
AND,Andorra,EUROPE,2020,167.0
AND,Andorra,EUROPE,2021,168.0
AND,Andorra,EUROPE,2022,168.0
ARE,United Arab Emirates,MIDDLE EAST,2020,170.0
ARE,United Arab Emirates,MIDDLE EAST,2021,174.0
ARE,United Arab Emirates,MIDDLE EAST,2022,175.0
ARG,Argentina,AMERICAS,2020,170.0
ARG,Argentina,AMERICAS,2021,170.0
ARG,Argentina,AMERICAS,2022,170.0
ARM,Armenia,MIDDLE EAST,2020,63.0
ARM,Armenia,MIDDLE EAST,2021,64.0
ARM,Armenia,MIDDLE EAST,2022,65.0
ATG,Antigua and Barbuda,CARIBBEAN,2020,151.0
ATG,Antigua and Barbuda,CARIBBEAN,2021,150.0
ATG,Antigua and Barbuda,CARIBBEAN,2022,150.0
AUS,Australia,OCEANIA,2020,184.0
AUS,Australia,OCEANIA,2021,184.0
AUS,Australia,OCEANIA,2022,185.0
AUT,Austria,EUROPE,2020,187.0
AUT,Austria,EUROPE,2021,188.0
AUT,Austria,EUROPE,2022,188.0
AZE,Azerbaijan,EUROPE,2020,67.0
AZE,Azerbaijan,EUROPE,2021,68.0
AZE,Azerbaijan,EUROPE,2022,69.0
BDI,Burundi,AFRICA,2020,50.0
BDI,Burundi,AFRICA,2021,51.0
BDI,Burundi,AFRICA,2022,51.0
BEL,Belgium,EUROPE,2020,185.0
BEL,Belgium,EUROPE,2021,186.0
BEL,Belgium,EUROPE,2022,186.0
BEN,Benin,AFRICA,2020,62.0
BEN,Benin,AFRICA,2021,61.0
BEN,Benin,AFRICA,2022,61.0
BFA,Burkina Faso,AFRICA,2020,59.0
BFA,Burkina Faso,AFRICA,2021,58.0
BFA,Burkina Faso,AFRICA,2022,58.0
BGD,Bangladesh,ASIA,2020,41.0
BGD,Bangladesh,ASIA,2021,40.0
BGD,Bangladesh,ASIA,2022,40.0
BGR,Bulgaria,EUROPE,2020,171.0
BGR,Bulgaria,EUROPE,2021,173.0
BGR,Bulgaria,EUROPE,2022,173.0
BHR,Bahrain,MIDDLE EAST,2020,83.0
BHR,Bahrain,MIDDLE EAST,2021,84.0
BHR,Bahrain,MIDDLE EAST,2022,84.0
BHS,Bahamas,CARIBBEAN,2020,155.0
BHS,Bahamas,CARIBBEAN,2021,155.0
BHS,Bahamas,CARIBBEAN,2022,155.0
BIH,Bosnia and Herzegovina,EUROPE,2020,117.0
BIH,Bosnia and Herzegovina,EUROPE,2021,116.0
BIH,Bosnia and Herzegovina,EUROPE,2022,117.0
BLR,Belarus,EUROPE,2020,75.0
BLR,Belarus,EUROPE,2021,78.0
BLR,Belarus,EUROPE,2022,79.0
BLZ,Belize,AMERICAS,2020,101.0
BLZ,Belize,AMERICAS,2021,101.0
BLZ,Belize,AMERICAS,2022,101.0
BOL,Bolivia,AMERICAS,2020,78.0
BOL,Bolivia,AMERICAS,2021,79.0
BOL,Bolivia,AMERICAS,2022,79.0
BRA,Brazil,AMERICAS,2020,170.0
BRA,Brazil,AMERICAS,2021,170.0
BRA,Brazil,AMERICAS,2022,169.0
BRB,Barbados,CARIBBEAN,2020,161.0
