code3,country,region,year,delta,abs_delta
UKR,Ukraine,EUROPE,2021,7.0,7.0
VUT,Vanuatu,OCEANIA,2021,5.0,5.0
ARE,United Arab Emirates,MIDDLE EAST,2021,4.0,4.0
CHN,China,ASIA,2021,4.0,4.0
TON,Tonga,OCEANIA,2021,4.0,4.0
DOM,Dominican Republic,CARIBBEAN,2021,3.0,3.0
BLR,Belarus,EUROPE,2021,3.0,3.0
NIC,Nicaragua,AMERICAS,2021,-3.0,3.0
VCT,St. Vincent and the Grenadines,CARIBBEAN,2021,3.0,3.0
MUS,Mauritius,AFRICA,2021,-2.0,2.0
BGR,Bulgaria,EUROPE,2021,2.0,2.0
CYP,Cyprus,EUROPE,2021,2.0,2.0
ROU,Romania,EUROPE,2021,2.0,2.0
QAT,Qatar,MIDDLE EAST,2021,2.0,2.0
SGP,Singapore,ASIA,2021,2.0,2.0
IND,India,ASIA,2022,2.0,2.0
ISR,Israel,MIDDLE EAST,2021,-2.0,2.0
HND,Honduras,AMERICAS,2021,-2.0,2.0
LBY,Libya,AFRICA,2021,2.0,2.0
PNG,Papua New Guinea,OCEANIA,2021,-2.0,2.0
COL,Colombia,AMERICAS,2021,2.0,2.0
TLS,Timor-Leste,ASIA,2021,-2.0,2.0
ZAF,South Africa,AFRICA,2021,2.0,2.0
JOR,Jordan,MIDDLE EAST,2022,2.0,2.0
MDV,Maldives,ASIA,2021,2.0,2.0
EST,Estonia,EUROPE,2021,2.0,2.0
DMA,Dominica,CARIBBEAN,2021,2.0,2.0
ALB,Albania,EUROPE,2021,-1.0,1.0
AND,Andorra,EUROPE,2021,1.0,1.0
GTM,Guatemala,AMERICAS,2021,-1.0,1.0
GRC,Greece,EUROPE,2021,1.0,1.0
BFA,Burkina Faso,AFRICA,2021,-1.0,1.0
BEN,Benin,AFRICA,2021,-1.0,1.0
BHR,Bahrain,MIDDLE EAST,2021,1.0,1.0
BGD,Bangladesh,ASIA,2021,-1.0,1.0
BDI,Burundi,AFRICA,2021,1.0,1.0
BEL,Belgium,EUROPE,2021,1.0,1.0
GIN,Guinea,AFRICA,2021,-1.0,1.0
ARM,Armenia,MIDDLE EAST,2021,1.0,1.0
ESP,Spain,EUROPE,2021,1.0,1.0
EGY,Egypt,AFRICA,2021,1.0,1.0
DZA,Algeria,AFRICA,2021,1.0,1.0
FSM,Micronesia,OCEANIA,2021,-1.0,1.0
GBR,United Kingdom,EUROPE,2022,1.0,1.0
GNB,Guinea-Bissau,AFRICA,2021,-1.0,1.0
GHA,Ghana,AFRICA,2021,-1.0,1.0
ETH,Ethiopia,AFRICA,2021,1.0,1.0
FIN,Finland,EUROPE,2021,1.0,1.0
FRA,France,EUROPE,2021,1.0,1.0
DNK,Denmark,EUROPE,2021,1.0,1.0
KOR,South Korea,ASIA,2021,1.0,1.0
LAO,Laos,ASIA,2021,-1.0,1.0
LBN,Lebanon,MIDDLE EAST,2021,1.0,1.0
ATG,Antigua and Barbuda,CARIBBEAN,2021,-1.0,1.0
AUS,Australia,OCEANIA,2022,1.0,1.0
CIV,Cote d'Ivoire,AFRICA,2021,-1.0,1.0
CMR,Cameroon,AFRICA,2021,1.0,1.0
BRA,Brazil,AMERICAS,2022,-1.0,1.0
BTN,Bhutan,ASIA,2021,-1.0,1.0
CHE,Switzerland,EUROPE,2021,1.0,1.0
BWA,Botswana,AFRICA,2021,1.0,1.0
CAN,Canada,AMERICAS,2021,1.0,1.0
ERI,Eritrea,AFRICA,2021,1.0,1.0
CRI,Costa Rica,AMERICAS,2021,-1.0,1.0
CUB,Cuba,CARIBBEAN,2021,-1.0,1.0
CZE,Czechia,EUROPE,2021,1.0,1.0
DEU,Germany,EUROPE,2021,1.0,1.0
BOL,Bolivia,AMERICAS,2021,1.0,1.0
BIH,Bosnia and Herzegovina,EUROPE,2021,-1.0,1.0
AUT,Austria,EUROPE,2021,1.0,1.0
AZE,Azerbaijan,EUROPE,2021,1.0,1.0
VNM,Vietnam,ASIA,2021,-1.0,1.0
TZA,Tanzania,AFRICA,2021,1.0,1.0
VAT,Vatican City,EUROPE,2021,-1.0,1.0
UZB,Uzbekistan,ASIA,2021,-1.0,1.0
TUR,Türkiye,EUROPE,2021,-1.0,1.0
TKM,Turkmenistan,ASIA,2021,-1.0,1.0
SWE,Sweden,EUROPE,2021,1.0,1.0
SYC,Seychelles,AFRICA,2021,1.0,1.0
TWN,Taiwan (Chinese Taipei),ASIA,2021,-1.0,1.0
USA,United States,AMERICAS,2022,1.0,1.0
TJK,Tajikistan,ASIA,2022,1.0,1.0
TGO,Togo,AFRICA,2021,-1.0,1.0
RUS,Russian Federation,EUROPE,2021,1.0,1.0
SDN,Sudan,AFRICA,2021,1.0,1.0
RWA,Rwanda,AFRICA,2021,1.0,1.0
PAK,Pakistan,ASIA,2021,-1.0,1.0
SVN,Slovenia,EUROPE,2021,1.0,1.0
SSD,South Sudan,AFRICA,2021,1.0,1.0
SVK,Slovakia,EUROPE,2021,1.0,1.0
SAU,Saudi Arabia,MIDDLE EAST,2021,1.0,1.0
SLV,El Salvador,AMERICAS,2021,-1.0,1.0
KNA,St. Kitts and Nevis,CARIBBEAN,2021,1.0,1.0
KWT,Kuwait,MIDDLE EAST,2021,-1.0,1.0
KAZ,Kazakhstan,ASIA,2021,-1.0,1.0
ITA,Italy,EUROPE,2021,1.0,1.0
HUN,Hungary,EUROPE,2021,1.0,1.0
IRL,Ireland,EUROPE,2021,1.0,1.0
IRN,Iran,MIDDLE EAST,2022,1.0,1.0
JAM,Jamaica,CARIBBEAN,2021,-1.0,1.0
HRV,Croatia,EUROPE,2021,1.0,1.0
HKG,Hong Kong (SAR China),ASIA,2021,1.0,1.0
HTI,Haiti,CARIBBEAN,2021,-1.0,1.0
NLD,Netherlands,EUROPE,2021,1.0,1.0
NOR,Norway,EUROPE,2022,1.0,1.0
NPL,Nepal,ASIA,2021,-1.0,1.0
NGA,Nigeria,AFRICA,2021,-1.0,1.0
NAM,Namibia,AFRICA,2021,1.0,1.0
NER,Niger,AFRICA,2021,-1.0,1.0
MNE,Montenegro,EUROPE,2021,-1.0,1.0
LUX,Luxembourg,EUROPE,2021,1.0,1.0
MMR,Myanmar,ASIA,2021,-1.0,1.0
MHL,Marshall Islands,OCEANIA,2021,-1.0,1.0
MKD,North Macedonia,EUROPE,2021,1.0,1.0
MYS,Malaysia,ASIA,2021,1.0,1.0
MEX,Mexico,AMERICAS,2021,-1.0,1.0
MNG,Mongolia,ASIA,2021,-1.0,1.0
SUR,Suriname,AMERICAS,2021,-1.0,1.0
STP,Sao Tome and Principe,AFRICA,2021,-1.0,1.0
NZL,New Zealand,OCEANIA,2021,1.0,1.0
PAN,Panama,AMERICAS,2021,-1.0,1.0
PER,Peru,AMERICAS,2021,-1.0,1.0
PHL,Philippines,ASIA,2021,-1.0,1.0
PLW,Palau Islands,OCEANIA,2021,-1.0,1.0
PSE,Palestinian Territory,MIDDLE EAST,2021,-1.0,1.0
KHM,Cambodia,ASIA,2021,-1.0,1.0
MLT,Malta,EUROPE,2021,1.0,1.0
LSO,Lesotho,AFRICA,2021,1.0,1.0
LTU,Lithuania,EUROPE,2021,1.0,1.0
MAR,Morocco,AFRICA,2021,-1.0,1.0
LVA,Latvia,EUROPE,2021,1.0,1.0
LKA,Sri Lanka,ASIA,2021,-1.0,1.0
KGZ,Kyrgyzstan,ASIA,2021,-1.0,1.0
JPN,Japan,ASIA,2021,1.0,1.0
GUY,Guyana,AMERICAS,2021,-1.0,1.0
POL,Poland,EUROPE,2021,1.0,1.0
PRT,Portugal,EUROPE,2021,1.0,1.0
SOM,Somalia,AFRICA,2021,1.0,1.0
SMR,San Marino,EUROPE,2021,1.0,1.0
SRB,Serbia,EUROPE,2021,1.0,1.0
GAB,Gabon,AFRICA,2021,0.0,0.0
GMB,The Gambia,AFRICA,2021,0.0,0.0
GEO,Georgia,EUROPE,2021,0.0,0.0
GRD,Grenada,CARIBBEAN,2021,0.0,0.0
GNQ,Equatorial Guinea,AFRICA,2021,0.0,0.0
BRB,Barbados,CARIBBEAN,2021,0.0,0.0
BRN,Brunei,ASIA,2021,0.0,0.0
CHL,Chile,AMERICAS,2021,0.0,0.0
COD,Congo (Dem. Rep.),AFRICA,2021,0.0,0.0
COG,Congo (Rep.),AFRICA,2021,0.0,0.0
COM,Comoro Islands,AFRICA,2021,0.0,0.0
BLZ,Belize,AMERICAS,2021,0.0,0.0
BHS,Bahamas,CARIBBEAN,2021,0.0,0.0
AGO,Angola,AFRICA,2021,0.0,0.0
ARG,Argentina,AMERICAS,2021,0.0,0.0
AFG,Afghanistan,ASIA,2021,0.0,0.0
FJI,Fiji,OCEANIA,2021,0.0,0.0
DJI,Djibouti,AFRICA,2021,0.0,0.0
ECU,Ecuador,AMERICAS,2021,0.0,0.0
CPV,Cape Verde Islands,AFRICA,2021,0.0,0.0
CAF,Central African Republic,AFRICA,2021,0.0,0.0
IRQ,Iraq,MIDDLE EAST,2021,0.0,0.0
IDN,Indonesia,ASIA,2021,0.0,0.0
KOS,Kosovo,EUROPE,2021,0.0,0.0
LBR,Liberia,AFRICA,2021,0.0,0.0
LCA,St. Lucia,CARIBBEAN,2021,0.0,0.0
LIE,Liechtenstein,EUROPE,2021,0.0,0.0
NRU,Nauru,OCEANIA,2021,0.0,0.0
MOZ,Mozambique,AFRICA,2021,0.0,0.0
MRT,Mauritania,AFRICA,2021,0.0,0.0
MWI,Malawi,AFRICA,2021,0.0,0.0
MCO,Monaco,EUROPE,2021,0.0,0.0
MDG,Madagascar,AFRICA,2021,0.0,0.0
MDA,Moldova,EUROPE,2021,0.0,0.0
MLI,Mali,AFRICA,2021,0.0,0.0
MAC,Macao (SAR China),ASIA,2021,0.0,0.0
ISL,Iceland,EUROPE,2021,0.0,0.0
KIR,Kiribati,OCEANIA,2021,0.0,0.0
KEN,Kenya,AFRICA,2021,0.0,0.0
PRY,Paraguay,AMERICAS,2021,0.0,0.0
OMN,Oman,MIDDLE EAST,2021,0.0,0.0
SLE,Sierra Leone,AFRICA,2021,0.0,0.0
PRK,North Korea,ASIA,2021,0.0,0.0
SLB,Solomon Islands,OCEANIA,2021,0.0,0.0
SEN,Senegal,AFRICA,2021,0.0,0.0
TTO,Trinidad and Tobago,CARIBBEAN,2021,0.0,0.0
TUN,Tunisia,AFRICA,2021,0.0,0.0
SYR,Syria,MIDDLE EAST,2021,0.0,0.0
SWZ,eSwatini,AFRICA,2021,0.0,0.0
TCD,Chad,AFRICA,2021,0.0,0.0
THA,Thailand,ASIA,2021,0.0,0.0
TUV,Tuvalu,OCEANIA,2021,0.0,0.0
URY,Uruguay,AMERICAS,2021,0.0,0.0
UGA,Uganda,AFRICA,2021,0.0,0.0
VEN,Venezuela,AMERICAS,2021,0.0,0.0
WSM,Samoa,OCEANIA,2021,0.0,0.0
YEM,Yemen,MIDDLE EAST,2021,0.0,0.0
ZMB,Zambia,AFRICA,2021,0.0,0.0
ZWE,Zimbabwe,AFRICA,2021,0.0,0.0
