code3,country,region,year,max_delta,max_abs_delta,vfc_end,vfc_start,ov_delta,ov_abs_delta
AFG,Afghanistan,ASIA,2018,6.0,6.0,26.0,12.0,14.0,14.0
AGO,Angola,AFRICA,2007,6.0,6.0,50.0,19.0,31.0,31.0
ALB,Albania,EUROPE,2011,35.0,35.0,113.0,17.0,96.0,96.0
AND,Andorra,EUROPE,2007,14.0,14.0,168.0,99.0,69.0,69.0
ARE,United Arab Emirates,MIDDLE EAST,2018,40.0,40.0,174.0,35.0,139.0,139.0
ARG,Argentina,AMERICAS,2018,16.0,16.0,170.0,101.0,69.0,69.0
ARM,Armenia,MIDDLE EAST,2007,11.5,11.5,64.0,23.0,41.0,41.0
ATG,Antigua and Barbuda,CARIBBEAN,2009,18.5,18.5,150.0,63.0,87.0,87.0
AUS,Australia,OCEANIA,2007,15.5,15.5,184.0,120.0,64.0,64.0
AUT,Austria,EUROPE,2007,14.0,14.0,188.0,125.0,63.0,63.0
AZE,Azerbaijan,EUROPE,2007,8.0,8.0,68.0,28.0,40.0,40.0
BDI,Burundi,AFRICA,2007,6.0,6.0,51.0,18.0,33.0,33.0
BEL,Belgium,EUROPE,2007,14.0,14.0,186.0,127.0,59.0,59.0
BEN,Benin,AFRICA,2007,5.5,5.5,61.0,36.0,25.0,25.0
BFA,Burkina Faso,AFRICA,2007,4.5,4.5,58.0,35.0,23.0,23.0
BGD,Bangladesh,ASIA,2007,5.5,5.5,40.0,28.0,12.0,12.0
BGR,Bulgaria,EUROPE,2007,16.5,16.5,173.0,83.0,90.0,90.0
BHR,Bahrain,MIDDLE EAST,2018,8.0,8.0,84.0,38.0,46.0,46.0
BHS,Bahamas,CARIBBEAN,2009,14.0,14.0,155.0,71.0,84.0,84.0
BIH,Bosnia and Herzegovina,EUROPE,2011,34.0,34.0,116.0,25.0,91.0,91.0
BLR,Belarus,EUROPE,2018,10.0,10.0,78.0,32.0,46.0,46.0
BLZ,Belize,AMERICAS,2007,8.5,8.5,101.0,58.0,43.0,43.0
BOL,Bolivia,AMERICAS,2007,-9.0,9.0,79.0,83.0,-4.0,4.0
BRA,Brazil,AMERICAS,2018,15.0,15.0,170.0,99.0,71.0,71.0
BRB,Barbados,CARIBBEAN,2009,19.0,19.0,161.0,71.0,90.0,90.0
BRN,Brunei,ASIA,2007,14.0,14.0,166.0,101.0,65.0,65.0
BTN,Bhutan,ASIA,2007,8.5,8.5,52.0,19.0,33.0,33.0
BWA,Botswana,AFRICA,2018,8.0,8.0,86.0,48.0,38.0,38.0
CAF,Central African Republic,AFRICA,2007,4.5,4.5,52.0,28.0,24.0,24.0
CAN,Canada,AMERICAS,2007,14.5,14.5,184.0,125.0,59.0,59.0
CHE,Switzerland,EUROPE,2018,14.0,14.0,186.0,127.0,59.0,59.0
CHL,Chile,AMERICAS,2018,17.0,17.0,174.0,109.0,65.0,65.0
CHN,China,ASIA,2018,23.0,23.0,79.0,18.0,61.0,61.0
CIV,Cote d'Ivoire,AFRICA,2011,52.0,52.0,56.0,0.0,56.0,56.0
CMR,Cameroon,AFRICA,2007,5.5,5.5,50.0,26.0,24.0,24.0
COD,Congo (Dem. Rep.),AFRICA,2010,36.0,36.0,42.0,0.0,42.0,42.0
COG,Congo (Rep.),AFRICA,2007,4.5,4.5,48.0,27.0,21.0,21.0
