country_name,code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Aruba,ABW,99405,100150,100917,101604,101838,102591,104110,105675,106807,107906,108727,108735,108908,109203,108587,107700,107310,107359,107624
Africa Eastern and Southern,AFE,475606210,488580707,502070763,516003448,530308387,544737983,559609961,575202699,590968990,607123269,623369401,640058741,657801085,675950189,694446100,713090928,731821393,750503764,769294618
Afghanistan,AFG,25424094,25909852,26482622,27466101,28284089,29347708,30560034,31622704,32792523,33831764,34700612,35688935,36743039,37856121,39068979,40000412,40578842,41454761,42647492
Africa Western and Central,AFW,325663158,334984176,344586109,354343844,364358270,374790143,385360349,396030207,406992047,418127845,429454743,440882906,452195915,463365429,474569351,485920997,497387180,509398589,521764076
Angola,AGO,20015279,20778561,21578655,22414773,23294825,24218352,25177394,26165620,27160769,28157798,29183070,30234839,31297155,32375632,33451132,34532429,35635029,36749906,37885849
Albania,ALB,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2777689,2745972,2714617
Andorra,AND,79585,81877,83495,83888,80706,77783,76834,75194,73737,72174,72181,73763,75162,76474,77380,78364,79705,80856,81938
Arab World,ARB,330526310,338947976,347684619,356386673,363568534,372054934,381030177,390954281,400231008,410190679,419808341,428315886,435998060,444281315,453723239,460646603,471352066,482105978,492579811
United Arab Emirates,ARE,5009100,5624635,6302664,6707058,6869838,7104538,7391448,7693031,8059440,8505237,8935095,9223225,9346701,9445785,9401038,9575152,10074977,10483751,10876981
Argentina,ARG,39622115,40016763,40424148,40854831,41288694,41730660,42161721,42582455,43024071,43477012,43900313,44288894,44654882,44973465,45191965,45312281,45407904,45538401,45696159
Armenia,ARM,3127100,3107400,3087100,3066000,3044800,3027900,3024100,3022000,3013800,3004600,2992300,2979400,2969000,2962500,2961500,2962300,2969200,2964300,3033500
American Samoa,ASM,56374,56113,55828,55528,55228,54895,54489,54006,53466,52878,52245,51586,50908,50209,49761,49225,48342,47521,46765
Antigua and Barbuda,ATG,80604,81704,82912,84173,85320,86332,87260,88064,88765,89409,89969,90468,90926,91364,91846,92349,92840,93316,93772
Australia,AUS,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24592588,24963258,25334826,25649248,25685412,26014399,26652777,27204809
Austria,AUT,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9041851,9131761,9178482
Azerbaijan,AZE,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10141756,10153958,10202850
Burundi,BDI,7865547,8161874,8505637,8947646,9376444,9717978,10071028,10439341,10799785,11047580,11239451,11506762,11859446,12255336,12617036,12965481,13321097,13689450,14047786
Belgium,BEL,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11375158,11427054,11488980,11538604,11586195,11680210,11787423,11876844
Benin,BEN,8693242,8953969,9228466,9509423,9797484,10093623,10397657,10708834,11030004,11360681,11697842,12039780,12383347,12726755,13070169,13413417,13759501,14111034,14462724
Burkina Faso,BFA,14373707,14816307,15258093,15710066,16176498,16661908,17172287,17695409,18229461,18777487,19334856,19894407,20438288,20961952,21478690,21995243,22509038,23025776,23548781
Bangladesh,BGD,146405973,147989278,149474264,150873714,152201981,153591076,155070101,156532141,157964929,159383179,160811932,162186147,163523103,164913055,166298024,167658854,169384897,171466990,173562364
Bulgaria,BGR,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7160005,7073572,6984225,6894139,6803468,6710798,6616726,6550696,6507301,6465097,6446596,6444366
Bahrain,BHR,960424,1039295,1103496,1178415,1228543,1195020,1208964,1253191,1314562,1370322,1423726,1501116,1503091,1483756,1472204,1504365,1524693,1577059,1588670
"Bahamas, The",BHS,348375,353334,358120,362810,367478,371729,375469,378953,382298,385346,388055,390485,392717,394675,395863,396373,397538,399440,401283
Bosnia and Herzegovina,BIH,4063272,4013424,3947544,3879794,3811472,3741798,3670113,3610859,3564829,3518541,3473003,3428682,3387000,3345533,3299349,3244907,3204802,3185073,3164253
Belarus,BLR,9604924,9560953,9527985,9504583,9483836,9461643,9446836,9443211,9448515,9461076,9469379,9458989,9438785,9419758,9379952,9302585,9228071,9178298,9133712
Belize,BLZ,287878,296100,304361,312614,320245,327298,334414,341627,348923,356333,364705,373202,380226,385829,390812,395346,402733,411106,417072
Bermuda,BMU,62834,63010,63300,63565,63725,63733,63646,63574,63529,63464,63449,63578,63831,64107,64382,64648,64749,64698,64636
Bolivia,BOL,9521689,9685960,9850858,10016275,10182345,10348929,10515807,10682608,10848888,11014705,11180020,11344587,11508368,11671386,11816299,11937360,12077154,12244159,12413315
Brazil,BRA,186653106,188552320,190367302,192079951,193701929,195284734,196876111,198478299,200085127,201675532,203218114,204703445,206107261,207455459,208660842,209550294,210306415,211140729,211998573
Barbados,BRB,270002,271288,272714,274123,275243,276139,276938,277665,278348,278990,279598,280171,280711,281207,281698,282147,282318,282336,282467
Brunei Darussalam,BRN,364663,370873,377793,384952,392332,399389,405557,411202,416750,422212,427564,432772,437810,442680,447404,451721,455370,458949,462721
Bhutan,BTN,670799,678641,686351,693988,701632,709377,717279,725273,733139,740618,747866,754335,759759,764824,770006,775442,780914,786385,791524
Botswana,BWA,1874516,1911201,1949970,1990673,2033111,2073535,2108617,2140682,2172044,2203273,2234776,2266747,2299141,2332083,2365894,2401441,2439892,2480244,2521139
Central African Republic,CAF,4377579,4462770,4558984,4529047,4492995,4565021,4610848,4642419,4623182,4629320,4713663,4793511,4878657,4944703,5026628,5112100,5098039,5152421,5330690
Canada,CAN,32571193,32888886,33247298,33630069,34005902,34339221,34713395,35080992,35434066,35704498,36110803,36545075,37072620,37618495,38028638,38239864,38935934,40083484,41288599
Central Europe and the Baltics,CEB,105772481,105378748,105001883,104800475,104421447,104174038,103929494,103570062,103280478,102973167,102647939,102337501,102074201,101864274,101215763,100205732,100071871,100175859,100050066
Switzerland,CHE,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8704546,8777088,8888093,9034102
Channel Islands,CHI,154214,155309,156408,157511,158621,159706,160767,161777,162726,163454,163883,164319,164949,165639,166235,166741,167215,167691,168126
Chile,CHL,16509195,16671581,16838988,17009731,17181464,17351816,17519119,17687006,17864195,18047625,18267221,18558868,18893191,19197744,19370624,19456334,19553036,19658835,19764771
China,CHN,1311020000,1317885000,1324655000,1331260000,1337705000,1345035000,1354190000,1363240000,1371860000,1379860000,1387790000,1396215000,1402760000,1407745000,1411100000,1412360000,1412175000,1410710000,1408975000
Cote d'Ivoire,CIV,20546802,21030558,21514439,21997940,22488065,22982000,23467078,23939775,24527395,25246342,25989405,26733372,27464173,28193009,28915449,29639736,30395002,31165654,31934230
Cameroon,CMR,17550407,18049896,18574056,19113974,19668066,20232304,20809529,21402376,22059893,22763414,23454161,24128601,24806383,25506095,26210558,26915758,27632771,28372687,29123744
"Congo, Dem. Rep.",COD,60615908,62477752,64390664,66412044,68563038,70849311,73254618,75789395,78403242,81035531,83956415,87083398,90047644,92947442,95989998,99148932,102396968,105789731,109276265
"Congo, Rep.",COG,3837409,3980430,4113517,4281219,4462290,4609724,4740450,4857099,4975880,5097581,5222536,5351011,5483118,5616661,5752791,5892183,6035104,6182885,6332961
