region,year,mean_vfc_unweighted,sum_pop,sum_wvfc,mean_vfc_weighted
AFRICA,2006,29.74074074074074,965546840,26415579134.0,27.358153990747876
AFRICA,2007,34.851851851851855,990637602,31897557726.0,32.199017745340946
AFRICA,2008,39.96296296296296,1016616188,37647797986.0,37.032459673955145
AFRICA,2009,43.2962962962963,1043299045,41094653636.5,39.38914142924381
AFRICA,2010,47.851851851851855,1070712051,47453771286.0,44.319825523286276
AFRICA,2011,50.2037037037037,1098614945,53065958521.0,48.30260025363118
AFRICA,2012,52.18518518518518,1127288440,56788225322.0,50.37594931959029
AFRICA,2013,53.333333333333336,1157199014,60048116281.0,51.890915524924566
AFRICA,2014,54.7037037037037,1187603759,62804951388.0,52.88375934485401
AFRICA,2015,52.03703703703704,1218429969,61020365972.0,50.08114337673518
AFRICA,2016,54.0,1249541364,64584349470.0,51.68644378706618
AFRICA,2017,53.851851851851855,1281217504,65855136864.0,51.400434866365984
AFRICA,2018,60.05555555555556,1313710340,71734115756.0,54.60421035888322
AFRICA,2019,60.53703703703704,1346289043,73440707622.0,54.550475623235094
AFRICA,2020,61.51851851851852,1379081518,76538337356.0,55.49950191994379
AFRICA,2021,61.629629629629626,1411989519,78539880960.0,55.62355803860609
AFRICA,2022,61.68518518518518,1445113511,80555174249.0,55.74314656656753
AFRICA,2023,62.2037037037037,1478973883,83426324936.0,56.40824756605929
AFRICA,2024,64.38888888888889,1513319287,87992908125.0,58.14563316604317
AMERICAS,2006,80.81818181818181,853345592,88195126468.0,103.35217911103946
AMERICAS,2007,89.61363636363636,862815445,98509591588.5,114.17226263085729
AMERICAS,2008,98.4090909090909,872309913,109028025277.0,124.98771784220226
AMERICAS,2009,101.0,881558876,112563471275.5,127.6868446793337
AMERICAS,2010,103.5909090909091,890647751,116125620810.0,130.38333132219407
AMERICAS,2011,110.13636363636364,899529860,125030400973.0,138.99527579106712
AMERICAS,2012,109.63636363636364,908454575,125246326924.0,137.86746235935902
AMERICAS,2013,114.18181818181819,917199269,131328960733.0,143.1847638476476
AMERICAS,2014,116.36363636363636,926006810,134132856123.0,144.8508311974509
AMERICAS,2015,115.81818181818181,934618611,134876312597.0,144.3116058353347
AMERICAS,2016,120.4090909090909,943211136,140921345342.0,149.40593888620077
AMERICAS,2017,123.31818181818181,951389726,143832021394.0,151.18096975749768
AMERICAS,2018,136.9090909090909,959068469,159162226121.0,165.9550191311732
AMERICAS,2019,135.4090909090909,966240355,158981768570.0,164.5364610858134
AMERICAS,2020,135.63636363636363,972321663,160359674301.0,164.92451048167175
AMERICAS,2021,135.22727272727272,976612420,160933835761.0,164.78782418208442
AMERICAS,2022,135.72727272727272,982965348,162436785088.0,165.25179185461988
AMERICAS,2023,136.1818181818182,991225086,164185997185.0,165.63946928296366
AMERICAS,2024,139.0,1000108857,168122606035.0,168.10430670448508
ASIA,2006,42.03125,3749524022,105086985249.0,28.026753431211915
ASIA,2007,50.09375,3791006829,133115277943.0,35.11343660072315
ASIA,2008,58.15625,3832196920,161680971253.0,42.19015218377661
ASIA,2009,61.59375,3873215928,178263738210.0,46.02473539399325
ASIA,2010,65.03125,3914258077,195221909046.0,49.874562485574195
ASIA,2011,69.21875,3955838897,207989136731.0,52.57775711966766
ASIA,2012,69.75,3998748943,209506145114.0,52.392922911739795
ASIA,2013,72.71875,4039720206,219570919986.0,54.353001888566936
ASIA,2014,74.90625,4080077178,225720680912.0,55.322649808954175
ASIA,2015,73.125,4118663632,224140446672.0,54.420672989786894
ASIA,2016,74.96875,4156893848,236039947929.0,56.782770154827396
ASIA,2017,74.625,4195353622,234054185133.0,55.78890511294306
ASIA,2018,86.46875,4231425449,296540401911.0,70.08049780980556
ASIA,2019,84.84375,4265533964,290646241624.0,68.13830204541304
ASIA,2020,85.84375,4297019760,298256686203.0,69.41012675329192
ASIA,2021,85.65625,4323057909,304591171206.0,70.45734237607225
ASIA,2022,86.03125,4346794373,310357172534.0,71.39909227401589
